snow_type_dry,snow_type_unknown,snow_type_wet,trigger_type_explosive,trigger_type_natural,trigger_type_unknown,max_elevation,min_elevation,aspect_degrees,length,width,perimeter,area,aval_size_class,weight_AAI,risk_index
0,1,0,0,1,0,2637.0,2524.0,308.0,176.0,52.0,424.0,7701.0,2,2,2
0,1,0,0,1,0,2402.0,2271.0,312.0,173.0,32.0,373.0,2951.0,2,2,2
1,0,0,0,0,0,2234.0,1799.0,31.0,715.0,256.0,1718.0,90418.0,3,3,2
1,0,0,0,0,0,2600.0,2493.0,305.0,124.0,43.0,285.0,4243.0,2,2,2
1,0,0,0,0,0,2378.0,2362.0,152.0,51.0,59.0,180.0,2301.0,2,2,2
1,0,0,0,0,0,2528.0,2506.0,204.0,39.0,25.0,109.0,739.0,1,1,2
1,0,0,0,0,0,2799.0,2572.0,115.0,302.0,83.0,711.0,9597.0,3,3,1
0,1,0,0,1,0,2543.0,2387.0,264.0,167.0,346.0,964.0,44084.0,3,3,1
0,1,0,0,1,0,2516.0,2399.0,41.0,168.0,38.0,378.0,5491.0,2,2,1
0,1,0,0,1,0,2261.0,2148.0,37.0,171.0,79.0,461.0,6507.0,2,2,1
1,0,0,0,1,0,2287.0,2217.0,297.0,106.0,33.0,237.0,2572.0,2,2,2
1,0,0,0,1,0,2589.0,2489.0,83.0,148.0,43.0,344.0,5240.0,2,2,2
1,0,0,0,1,0,2476.0,2420.0,69.0,74.0,38.0,192.0,1940.0,2,2,2
1,0,0,0,1,0,1804.0,1769.0,235.0,67.0,46.0,195.0,2206.0,2,2,2
1,0,0,0,1,0,2607.0,2545.0,265.0,78.0,20.0,182.0,1186.0,2,2,2
1,0,0,0,1,0,2309.0,2259.0,4.0,88.0,64.0,250.0,4247.0,2,2,2
1,0,0,0,1,0,2379.0,2327.0,76.0,100.0,51.0,275.0,4119.0,2,2,2
1,0,0,0,1,0,2469.0,2420.0,123.0,70.0,207.0,499.0,7112.0,2,2,2
1,0,0,0,1,0,2051.0,1948.0,135.0,160.0,37.0,350.0,4611.0,2,2,2
1,0,0,0,1,0,2308.0,2211.0,51.0,152.0,62.0,520.0,5213.0,2,2,2
1,0,0,0,1,0,2150.0,2099.0,106.0,86.0,29.0,200.0,1492.0,2,2,2
1,0,0,0,1,0,2782.0,2721.0,144.0,157.0,63.0,371.0,7477.0,2,2,2
1,0,0,0,0,0,2093.0,1646.0,125.0,599.0,38.0,1223.0,10712.0,3,3,2
1,0,0,0,0,0,2593.0,2452.0,280.0,277.0,124.0,744.0,20154.0,2,2,2
1,0,0,0,1,0,2397.0,2325.0,58.0,145.0,77.0,365.0,7218.0,2,2,2
0,1,0,0,1,0,2648.0,2570.0,127.0,167.0,83.0,403.0,10321.0,2,2,2
1,0,0,0,1,0,2487.0,2396.0,343.0,147.0,26.0,322.0,3092.0,2,2,2
1,0,0,0,0,0,2617.0,2500.0,308.0,199.0,32.0,425.0,3516.0,2,2,2
1,0,0,0,0,0,2316.0,2206.0,359.0,163.0,37.0,363.0,4598.0,2,2,2
1,0,0,0,0,0,2257.0,1976.0,43.0,351.0,76.0,758.0,10385.0,3,3,2
1,0,0,0,1,0,2520.0,2454.0,218.0,110.0,29.0,244.0,2202.0,2,2,2
0,1,0,0,1,0,2450.0,2364.0,149.0,170.0,39.0,374.0,4364.0,2,2,1
1,0,0,0,1,0,2535.0,2438.0,297.0,160.0,91.0,410.0,10325.0,2,2,0
1,0,0,0,1,0,2507.0,2416.0,116.0,145.0,59.0,362.0,5476.0,2,2,0
1,0,0,0,1,0,2371.0,2296.0,147.0,125.0,55.0,321.0,5618.0,2,2,0
1,0,0,0,1,0,2688.0,2623.0,135.0,92.0,37.0,217.0,2619.0,2,2,0
0,1,0,0,1,0,2348.0,2244.0,43.0,190.0,53.0,448.0,8261.0,2,2,0
0,1,0,0,1,0,2114.0,2007.0,133.0,181.0,51.0,422.0,7723.0,2,2,0
0,1,0,0,1,0,2461.0,2348.0,218.0,168.0,87.0,553.0,10371.0,2,2,0
0,1,0,0,1,0,2539.0,2432.0,43.0,180.0,37.0,388.0,4791.0,2,2,0
